end,val,accn,fy,fp,form,filed,frame
2024-12-31,5167052000,0000888491-25-000006,2024.0,FY,10-K,2025-02-13,
2023-12-31,5355111000,0000888491-25-000006,2024.0,FY,10-K,2025-02-13,CY2023Q4I
2023-12-31,5355111000,0000888491-24-000007,2023.0,FY,10-K,2024-02-12,
2022-12-31,5601881000,0000888491-24-000007,2023.0,FY,10-K,2024-02-12,CY2022Q4I
2022-12-31,5601881000,0000888491-23-000006,2022.0,FY,10-K,2023-02-14,
2021-12-31,5530252000,0000888491-23-000006,2022.0,FY,10-K,2023-02-14,CY2021Q4I
2021-12-31,5530252000,0000888491-22-000007,2021.0,FY,10-K,2022-02-17,
2020-12-31,5460842000,0000888491-22-000007,2021.0,FY,10-K,2022-02-17,CY2020Q4I
2020-12-31,5460842000,0000888491-21-000006,2020.0,FY,10-K,2021-02-22,
2019-12-31,5459530000,0000888491-21-000006,2020.0,FY,10-K,2021-02-22,CY2019Q4I
2019-12-31,5459530000,0000888491-20-000007,2019.0,FY,10-K,2020-02-28,
2018-12-31,4826393000,0000888491-20-000007,2019.0,FY,10-K,2020-02-28,CY2018Q4I
2018-12-31,4826393000,0000888491-19-000006,2018.0,FY,10-K,2019-02-26,
2017-12-31,4885047000,0000888491-19-000006,2018.0,FY,10-K,2019-02-26,CY2017Q4I
2017-12-31,4885047000,0001144204-18-010511,2017.0,FY,10-K,2018-02-23,
2016-12-31,4737274000,0001144204-18-010511,2017.0,FY,10-K,2018-02-23,CY2016Q4I
2016-12-31,4737274000,0001571049-17-001590,2016.0,FY,10-K,2017-02-24,
2015-12-31,3889071000,0001571049-17-001590,2016.0,FY,10-K,2017-02-24,
2015-12-31,3918144000,0001571049-16-012234,2015.0,FY,10-K,2016-02-29,
2014-12-31,2520318000,0001571049-16-012234,2015.0,FY,10-K,2016-02-29,
2014-12-31,2520318000,0001571049-15-001458,2014.0,FY,10-K,2015-02-27,
2013-12-31,2162113000,0001571049-15-001458,2014.0,FY,10-K,2015-02-27,CY2013Q4I
2013-12-31,2162113000,0001188112-14-000320,2013.0,FY,10-K,2014-02-11,
2012-12-31,1970676000,0001188112-14-000320,2013.0,FY,10-K,2014-02-11,CY2012Q4I
2012-12-31,1970676000,0001188112-13-000515,2012.0,FY,10-K,2013-02-28,
2011-12-31,1678828000,0001188112-13-000515,2012.0,FY,10-K,2013-02-28,CY2011Q4I
2011-12-31,1678828000,0001157523-12-001056,2011.0,FY,10-K,2012-02-27,
2010-12-31,1299941000,0000888491-11-000015,2010.0,FY,10-K,2011-02-28,
2010-12-31,1299941000,0001157523-12-001056,2011.0,FY,10-K,2012-02-27,CY2010Q4I
2009-12-31,789806000,0000888491-11-000015,2010.0,FY,10-K,2011-02-28,CY2009Q4I
